satuan,antam,pegadaian
1000,2368600000,2429547000
500,1184320000,1214774000
250,592265000,607686000
100,237012000,243195000
50,118545000,121658000
25,59312000,60877000
10,24780000,24411000
5,12750000,12238000
2,4796000,4932000
1,2578000,2504000
5,1334000,1314000
